0 0x4004210204030a02
1 0x84506202002c00
2 0x826810d400880060
3 0x604250203000000
4 0x232021060800000
5 0x211040240156000
6 0xa644184900a00
7 0x55804110016020
8 0xa4810040040
9 0x4000200288810300
a 0xa08100400902900
b 0x2000040400848080
c 0x2045040050000
d 0x210020202a00310
e 0x10004040a131000
f 0x4401002404522802
10 0x282020a0010a48
11 0x3002410420200
12 0xa4088800340011
13 0x4000800802004088
14 0x402801400a01084
15 0x8100400808080428
16 0x4484082082120
17 0x2100103560200
18 0x4404200110210112
19 0x85034c082640408
1a 0xc28050090803a140
1b 0x4010008200880
1c 0x401001011004005
1d 0x10048801028809
1e 0x4c1010044042101
1f 0x8020910002010086
20 0x11301010400400
21 0x8408043100040116
22 0x1004240102900101
23 0x1220280080080
24 0x20100201200a0028
25 0xa001020801008a
26 0x8004441040042100
27 0xa01004901008400
28 0x242084240080800
29 0x2018a0110802100
2a 0x444222028001006
2b 0x420122022c00
2c 0x200c09200400
2d 0x80a20810008a4100
2e 0x4280810400106
2f 0x9010088108414110
30 0x241011062206800
31 0x42504410180008
32 0x10108a0201040424
33 0x1042022000
34 0x2002201010504004
35 0x301095084040
36 0x40100222004000
37 0x8020545102062402
38 0x1040082080202
39 0x1010810088018820
3a 0x40088044040400
3b 0x8008004408841100
3c 0x4584050410
3d 0x4082004411121201
3e 0x4000040404081210
3f 0x640041404005410
