0 0x80004000208010
1 0x40200040001001
2 0x30028a000405100
3 0x2500046008100100
4 0x4200042002001009
5 0x80040002008001
6 0x88001000c802200
7 0x1100022085560100
8 0x302800480400031
9 0x404000201000
a 0x90801008200481
b 0x402004020120008
c 0x480800400080080
d 0x240800200800400
e 0x84000208013024
f 0x30a1800100024280
10 0x80208000400092
11 0xc0002010080020
12 0x3402020024148040
13 0x402020008401320
14 0x208818004000800
15 0x80104102040
16 0x844f0100020004
17 0x240152000081440b
18 0x20408200210200
19 0x410004240002000
1a 0x2000100880200080
1b 0x4c8000880100080
1c 0x1221000500080010
1d 0x46000a00081450
1e 0x300220400300841
1f 0x83802080004100
20 0x4040004262800080
21 0xe400090802000
22 0x10802000801000
23 0x2004022000810
24 0x881001005000800
25 0x7002000401010008
26 0x3000019004000208
27 0x10224102000684
28 0x804010288000
29 0x190002000404001
2a 0x4100100020008080
2b 0x8100100101090022
2c 0x3400100801010004
2d 0x40002008080
2e 0x1000480102040050
2f 0x12048051020024
30 0x804201002200
31 0x40182006408080
32 0x50080401200220
33 0xe810004401480240
34 0x4802001020050a00
35 0x4250800400020080
36 0x860100802190c00
37 0x40040440b10a00
38 0x48a144080002105
39 0x8001042042028016
3a 0x401002004084011
3b 0x2084210410010009
3c 0x30820090484420ba
3d 0x201000a04000803
3e 0x1800084d02109004
3f 0x4083104408402
